from_country,to_country,total_points
bg,ie,13
il,al,13
ee,es,13
ua,fi,13
nl,ge,13
sk,il,13
sk,pt,13
am,es,13
mk,pl,13
al,by,13
am,au,13
ad,lt,13
es,ge,13
mk,sm,13
sm,ee,13
md,pl,13
sm,ch,13
ba,pt,12
ad,lv,12
ba,it,12
lt,es,12
sm,fr,12
ba,dk,12
de,cz,12
is,sm,12
rs,al,12
cs,ru,12
cs,ro,12
ua,me,12
pt,me,12
ch,si,12
ua,ie,12
hu,mk,12
es,ba,12
cy,tr,12
az,rs,12
me,fr,12
ma,tr,12
sm,at,12
cz,sm,12
az,at,12
by,ie,11
bg,is,11
au,ro,11
md,tr,11
cz,ch,11
it,am,11
mc,lt,11
by,fr,11
il,sm,11
by,sm,11
gr,lt,11
mt,mc,11
ch,cz,11
ie,mk,11
mc,ro,11
cs,md,11
ie,al,11
mc,tr,11
au,at,11
am,de,11
it,ba,11
mk,is,11
au,am,11
sk,at,11
gb,rs,11
mk,de,11
ba,sk,11
pl,tr,11
lv,al,11
ro,cz,11
gb,cs,11
bg,ch,11
ge,hr,11
am,hu,10
md,de,10
dk,hr,10
ad,pl,10
cy,sm,10
rs,fr,10
ma,de,10
mc,mt,10
rs,gb,10
fr,ge,10
sk,hu,10
pt,ad,10
lv,cs,10
mt,yu,10
ba,md,10
lt,am,10
mt,cs,10
be,cs,10
ro,lt,10
fr,lt,10
mc,lv,10
tr,cy,10
ba,sm,10
ua,de,10
ua,gb,9
fi,mk,9
ro,sm,9
cs,se,9
bg,es,9
pt,sk,9
is,lu,9
az,fr,9
au,sm,9
sk,si,9
ba,is,9
au,az,9
md,ie,9
it,me,9
is,mk,9
sk,ru,9
ad,ch,9
ru,sm,9
sk,pl,9
ua,it,9
ie,cs,9
dk,am,8
me,ee,8
ad,be,8
ru,me,8
ee,ad,8
fi,sm,8
au,by,8
au,ch,8
tr,pl,8
nl,al,8
cz,me,8
ad,si,8
ad,at,8
cz,lt,8
ma,gb,8
ru,cz,8
tr,by,8
ua,is,8
hr,sk,8
ba,by,8
ba,ch,8
pl,mk,8
gr,mk,8
il,me,8
by,de,8
it,by,8
lu,cy,8
sk,lt,7
ch,am,7
sk,ro,7
sk,am,7
rs,sk,7
ua,al,7
az,gb,7
cy,ba,7
yu,dk,7
rs,pl,7
ua,ch,7
cz,tr,7
au,me,7
cz,ad,7
cz,fr,7
az,is,7
no,am,7
rs,fi,7
md,sk,7
gr,sk,7
it,ma,7
nl,ad,7
fr,me,7
ma,ch,7
is,cs,7
es,by,7
sm,mk,7
ro,me,7
ge,gb,7
mc,si,7
pl,ad,7
lt,ba,7
ua,es,6
sm,ba,6
cs,cy,6
pt,sm,6
sk,nl,6
cs,il,6
me,pl,6
il,ad,6
cs,lt,6
cs,no,6
ge,mk,6
tr,lv,6
ie,sk,6
by,gb,6
al,ad,6
il,ba,6
is,ad,6
cy,me,6
it,hr,6
bg,it,6
am,al,6
pl,sm,6
me,es,6
am,lt,6
az,fi,6
az,de,6
ma,se,6
am,si,6
mc,is,6
ad,ie,6
ad,al,6
ad,cy,6
ro,ge,6
rs,sm,6
dk,cz,6
nl,by,6
rs,lv,6
nl,me,6
cz,ro,6
ee,sk,6
ad,gb,6
al,ge,5
fi,ad,5
is,sk,5
ba,ge,5
dk,ge,5
tr,sm,5
pl,sk,5
ba,lv,5
by,me,5
me,fi,5
cy,mk,5
me,ch,5
pt,mk,5
es,me,5
am,lv,5
ma,es,5
si,ad,5
sk,it,5
md,gb,5
mc,ee,5
sk,mk,5
pl,cs,5
at,sm,5
dk,me,5
dk,by,5
me,lv,5
ad,md,5
fr,sm,5
ad,de,5
mk,es,5
tr,me,5
tr,mc,5
ie,ad,5
yu,is,4
cs,ee,4
bg,cs,4
be,sk,4
az,es,4
be,by,4
lt,mk,4
ru,ad,4
lv,ba,4
ma,no,4
sk,by,4
ua,sm,4
sk,al,4
ba,lt,4
gb,by,4
lv,sm,4
gr,ad,4
am,ie,4
hu,me,4
tr,lt,4
cy,mc,4
me,ie,4
md,ad,4
me,ge,4
mc,mk,4
ie,am,4
sk,es,4
ru,pt,4
sk,ch,4
se,by,4
no,by,4
nl,sm,4
by,ad,4
it,cz,4
ru,bg,4
al,sk,4
mc,al,3
cz,de,3
ad,am,3
hr,sm,3
ee,al,3
se,sk,3
ma,at,3
ch,me,3
sk,tr,3
rs,tr,3
me,at,3
si,sk,3
fi,me,3
mk,sk,3
al,cz,3
mt,ad,3
by,sk,3
ad,cs,3
si,sm,3
at,sk,3
no,me,3
lt,cs,3
ro,sk,3
tr,ad,3
at,lt,3
am,az,3
rs,ie,3
me,lt,3
no,ge,2
ad,sm,2
me,gb,2
md,mc,2
at,ge,2
sk,fi,2
al,mc,2
ee,mk,2
be,sm,2
de,me,2
cs,is,2
cs,tr,2
au,hr,2
hu,cs,2
cs,ch,2
ge,es,2
ch,ge,2
ge,ba,2
se,ad,2
ch,by,2
fi,sk,2
is,me,2
de,by,2
by,es,2
lt,ad,2
lv,tr,2
ee,mc,2
ma,dk,2
ee,ba,2
rs,es,2
no,ad,2
ba,cy,2
lv,me,2
es,sk,2
hr,ad,2
fr,sk,1
ad,ba,1
mk,ad,1
sm,es,1
ge,fi,1
ee,cs,1
de,sm,1
cs,nl,1
md,cs,1
ad,me,1
bg,lv,1
mc,by,1
ma,fr,1
pl,mc,1
si,lu,1
sm,by,1
lt,al,1
hu,ba,1
al,lv,1
tr,cz,1
ru,sk,1
cs,bg,1
cs,ie,1
tr,rs,0
tr,ma,0
ua,ad,0
tr,sk,0
ua,mc,0
ua,ua,0
sk,sk,0
sm,ad,0
tr,tr,0
sm,sm,0
ad,ad,0
sk,lv,0
de,ad,0
cz,cz,0
cy,sk,0
cy,cy,0
cy,ad,0
cs,pt,0
cs,pl,0
cs,mt,0
cs,mc,0
cs,lv,0
cs,gb,0
cs,fr,0
cs,es,0
cs,dk,0
cs,de,0
cs,cs,0
cs,by,0
cs,be,0
cs,at,0
cs,am,0
cz,es,0
de,de,0
sk,ge,0
de,ma,0
gb,ma,0
gb,gb,0
gb,ad,0
fr,ma,0
fr,fr,0
fr,ad,0
fi,ma,0
fi,fi,0
es,mk,0
es,ma,0
es,es,0
ee,me,0
ee,ee,0
dk,sm,0
dk,sk,0
dk,ma,0
dk,dk,0
dk,ad,0
de,sk,0
cs,ad,0
ch,sm,0
ch,sk,0
ch,ma,0
az,ad,0
au,au,0
au,al,0
at,me,0
at,ma,0
at,at,0
at,ad,0
am,mc,0
am,am,0
am,ad,0
al,al,0
ad,rs,0
ad,mk,0
ad,hr,0
ad,ge,0
ad,ee,0
ad,cz,0
ad,by,0
ad,bg,0
az,am,0
az,az,0
az,sk,0
bg,bg,0
ch,ch,0
ch,ad,0
by,mc,0
by,by,0
bg,sm,0
bg,sk,0
bg,me,0
bg,mc,0
bg,ad,0
ba,ad,0
be,mk,0
be,me,0
be,ma,0
be,be,0
be,ad,0
ba,mc,0
ba,lu,0
ba,ba,0
gb,me,0
gb,sk,0
gb,sm,0
ma,ma,0
nl,sk,0
nl,nl,0
nl,ma,0
mt,mt,0
mk,mk,0
mk,mc,0
me,me,0
me,de,0
me,ad,0
md,md,0
mc,ru,0
mc,pl,0
mc,md,0
mc,mc,0
mc,hu,0
mc,bg,0
mc,am,0
mc,ad,0
ma,pt,0
no,ma,0
no,no,0
no,sk,0
ru,mc,0
sk,fr,0
sk,bg,0
si,si,0
si,mc,0
se,sm,0
se,se,0
se,ma,0
ru,ru,0
rs,rs,0
no,sm,0
rs,ad,0
ro,ro,0
ro,mc,0
ro,ad,0
pt,pt,0
pt,ma,0
pl,pl,0
pl,me,0
ma,nl,0
ma,lu,0
ge,ad,0
ma,it,0
il,sk,0
il,il,0
ie,sm,0
ie,me,0
ie,ma,0
ie,ie,0
hu,sk,0
hu,mc,0
hu,hu,0
hu,ad,0
hr,mc,0
hr,lu,0
hr,hr,0
gr,ma,0
gr,gr,0
ge,sk,0
ge,me,0
ge,ie,0
ge,ge,0
is,is,0
is,mc,0
it,it,0
lu,si,0
ma,ie,0
ma,gr,0
ma,fi,0
ma,be,0
lv,sk,0
lv,mc,0
lv,lv,0
lv,ad,0
lu,ma,0
it,sk,0
lu,lu,0
lu,hr,0
lu,ba,0
lt,sm,0
lt,sk,0
lt,me,0
lt,mc,0
lt,lt,0
yu,yu,0
